,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,state,Postal Code,Sales,Quantity,Discount,Profit,year,id,order date,oder month,order year,ship date,custome ID,ProductId,differnt
1,2.0,166.0,0.0,0.0,194.0,15.0,2.0,0.0,5.0,837.0,38.0,42420,261.96,2,0.0,41.9136,2013,152156,9,11,2013,12,12520,10001798,-3
2,2.0,201.0,1.0,0.0,266.0,3.0,3.0,1.0,10.0,1431.0,69.0,42420,731.94,3,0.0,219.582,2013,152156,9,11,2013,12,12520,10000454,-3
3,3.0,687.0,0.0,0.0,153.0,8.0,2.0,0.0,16.0,365.0,254.0,90036,14.62,2,0.0,6.8714,2013,138688,13,06,2013,17,13045,10000240,-4
4,3.0,687.0,0.0,0.0,153.0,8.0,2.0,1.0,14.0,571.0,254.0,33311,957.5775,5,0.45,-383.031,2012,108966,11,10,2012,18,20335,10000577,-7
5,3.0,113.0,0.0,0.0,266.0,3.0,3.0,0.0,9.0,568.0,24.0,33311,22.368,2,0.2,2.5164,2012,108966,11,10,2012,18,20335,10000760,-7
6,3.0,113.0,0.0,0.0,266.0,3.0,3.0,1.0,2.0,1127.0,24.0,90032,48.86,7,0.0,14.1694,2011,115812,9,06,2011,14,11710,10001487,-5
7,3.0,113.0,0.0,0.0,266.0,3.0,3.0,2.0,13.0,1090.0,24.0,90032,7.28,4,0.0,1.9656,2011,115812,9,06,2011,14,11710,10002833,-5
8,3.0,113.0,0.0,0.0,266.0,3.0,3.0,1.0,3.0,498.0,24.0,90032,907.152,6,0.2,90.7152,2011,115812,9,06,2011,14,11710,10002275,-5
9,3.0,113.0,0.0,0.0,266.0,3.0,3.0,1.0,1.0,301.0,24.0,90032,18.504,3,0.2,5.7825,2011,115812,9,06,2011,14,11710,10003910,-5
10,3.0,113.0,0.0,0.0,266.0,3.0,3.0,0.0,16.0,426.0,24.0,90032,114.9,5,0.0,34.47,2011,115812,9,06,2011,14,11710,10002892,-5
11,3.0,113.0,0.0,0.0,266.0,3.0,3.0,2.0,13.0,963.0,24.0,90032,1706.184,9,0.2,85.3092,2011,115812,9,06,2011,14,11710,10001539,-5
12,3.0,31.0,0.0,0.0,96.0,31.0,2.0,1.0,12.0,1747.0,0.0,90032,911.424,4,0.2,68.3568,2011,115812,9,06,2011,14,11710,10002033,-5
13,3.0,336.0,0.0,0.0,452.0,45.0,3.0,1.0,3.0,646.0,123.0,28027,15.552,3,0.2,5.4432,2014,114412,16,04,2014,21,10480,10002365,-5
14,3.0,319.0,2.0,0.0,154.0,41.0,0.0,1.0,1.0,820.0,117.0,98103,407.976,3,0.2,132.5922,2013,161389,6,12,2013,11,15070,10003656,-5
15,3.0,319.0,2.0,0.0,154.0,41.0,0.0,1.0,3.0,1503.0,117.0,76106,68.81,5,0.8,-123.858,2012,118983,22,11,2012,26,14815,10002311,-4
16,3.0,603.0,0.0,0.0,272.0,47.0,0.0,1.0,14.0,1509.0,214.0,76106,2.544,3,0.8,-3.816,2012,118983,22,11,2012,26,14815,10000756,-4
17,2.0,17.0,0.0,0.0,513.0,42.0,3.0,1.0,14.0,658.0,5.0,53711,665.88,6,0.0,13.3176,2011,105893,11,11,2011,18,19075,10004186,-7
